#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321ABECE0
#Date Time: 2024-11-29 08:55:14.451
#Sample rate: 5000Hz
#Samples: 20809
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.85 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: -3 V Attenuation: 1 X
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: Rdy
#Voltage: -1 V

Time (s),Channel 1 (V)
2.8038,2.719127524612649
2.804,2.718446247584498
2.8042,2.717764970556347
2.8044,2.716061777985971
2.8046,2.715039862443745
2.8048,2.714699223929669
2.805,2.712996031359293
2.8052,2.711633477302992
2.8054,2.709930284732615
2.8056,2.709930284732615
2.8058,2.708908369190389
2.806,2.70958964621854
2.8062,2.706864538105938
2.8064,2.701414321880732
2.8066,2.700392406338507
2.8068,2.700392406338507
2.807,2.700392406338507
2.8072,2.700051767824431
2.8074,2.699370490796281
2.8076,2.701073683366657
2.8078,2.707545815134088
2.808,2.711633477302992
2.8082,2.709930284732615
2.8084,2.708227092162239
2.8086,2.701414321880732
2.8088,2.700051767824431
2.809,2.70958964621854
2.8092,2.706864538105938
2.8094,2.70448006850741
2.8096,2.704820707021486
2.8098,2.710952200274841
2.81,2.711633477302992
2.8102,2.70958964621854
2.8104,2.707205176620013
2.8106,2.705161345535561
2.8108,2.705161345535561
2.811,2.70958964621854
2.8112,2.713336669873368
2.8114,2.711974115817067
2.8116,2.712996031359293
2.8118,2.710952200274841
2.812,2.709249007704464
2.8122,2.707886453648163
2.8124,2.707545815134088
2.8126,2.714017946901519
2.8128,2.712996031359293
2.813,2.711292838788916
2.8132,2.707886453648163
2.8134,2.706864538105938
2.8136,2.704820707021486
2.8138,2.705501984049636
2.814,2.708227092162239
2.8142,2.709249007704464
2.8144,2.709930284732615
2.8146,2.710270923246691
2.8148,2.711292838788916
2.815,2.711292838788916
2.8152,2.70958964621854
2.8154,2.708227092162239
2.8156,2.706864538105938
2.8158,2.707205176620013
2.816,2.706523899591862
2.8162,2.706183261077787
2.8164,2.706864538105938
2.8166,2.705842622563711
2.8168,2.705501984049636
2.817,2.702436237422958
2.8172,2.702436237422958
2.8174,2.702436237422958
2.8176,2.703117514451109
2.8178,2.702095598908883
2.818,2.698007936739979
2.8182,2.697667298225904
2.8184,2.699370490796281
2.8186,2.701073683366657
2.8188,2.70448006850741
2.819,2.70379879147926
2.8192,2.702436237422958
2.8194,2.69868921376813
2.8196,2.696986021197754
2.8198,2.700392406338507
2.82,2.696645382683678
2.8202,2.694942190113302
2.8204,2.697326659711829
2.8206,2.696645382683678
2.8208,2.699711129310356
2.821,2.691195166458473
2.8212,2.692557720514774
2.8214,2.694260913085151
2.8216,2.693238997542925
2.8218,2.696304744169603
2.822,2.700392406338507
2.8222,2.698348575254055
2.8224,2.696645382683678
2.8226,2.698348575254055
2.8228,2.695964105655527
2.823,2.69289835902885
2.8232,2.692217082000699
2.8234,2.693238997542925
2.8236,2.69289835902885
2.8238,2.692217082000699
